Checked	Species_name	Common_name	Code	Date_stranded	Date_received	Location	Region	Ocean	Cause_of_death	Sex	Who		Source	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	
	Cephalorhynchus hectori	Hector's dolphin	CheTi10	20/02/1995		Timaru Harbour	Canterbury	Pacific		Male						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9367"		
	Cephalorhynchus hectori	Hector's dolphin	CheTi12	22/12/1999		"Caroline Bay Beach, Timaru NZMS ZE) J39-K39 706449"	Canterbury	Pacific		Male	"Al Hutt, DoC Akaroa"								No H code. Eneterd to the database by Sahar. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheTi13	19/03/2000		Opihi river mouth north of Timaru	Canterbury	Pacific		Male	"Al Hutt, DoC Akaroa"								No H code. Eneterd to the database by Sahar. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheTWW03	01/03/1996		"Te Wae Wae Bay, Oreti Beach"	Southland	Pacific		Unknown	Liz Slooten and Steve Dawson								No H code. Eneterd to the database by Sahar. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheTWW04	11/04/1996	Oct-96	Colac Bay	Southland	Pacific		Female									No H code. Eneterd to the database by Sahar. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheTWW05	13/01/1996	Oct-96	"Bluecliffs, Te Wae Wae Bay"	Southland	Pacific		Unknown						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9368"		
	Cephalorhynchus hectori	Hector's dolphin	CheTWW06	18/06/2005		"Waiawa river mouth, Te Wae Wae Bay"	Southland	Pacific		Unknown						Yes		sample found in Kirsty's firdge Aug06 Carlos had extracted		
	Cephalorhynchus hectori	Hector's dolphin	CheTWW07	20/04/2005		Stewart island?	Southland	Pacific		Unknown	Otago Museum					No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9369"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheWC	26/02/1996		Wesport										No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9370"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC01	18/10/1992		Hokitika River Mouth	West Coast	Tasman		Female						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9371"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC02	28/10/1992		"Blaketown tiphead, Greymouth"	West Coast	Tasman		Female	Steve Dawson and Liz Slooten					No		"from cards on Kirsty's desk, Franz's notesfrozen tissuealternate code = CETOS 9372"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheWC02-06 (H60/02)	25/11/1992		Westport				Female						No		"from cards on Kirsty's desk, Franz's notesgenetically sexed male"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC03	02/11/1992		Hokitika River mouth	West Coast	Tasman		Male						No		"from cards on Kirsty's desk, Franz's notesfrozen tissuegillnettedalternate code = CETOS 9587"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheWC03-01	10/10/2003		Buller				Female						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9588"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheWC03-02	24/10/2003		Hokitika				Female						No		"from cards on Kirsty's desk, Franz's notesSkeletal remains"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheWC03-03	13/11/2003		Sth Westland (Haast Beach)				Male						No		"from cards on Kirsty's desk, Franz's notes"		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheWC03-04	31/11/2003		Buller										No		"from cards on Kirsty's desk, Franz's notesreported caught in gillnetalternate code = CETOS 9691"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC04	09/11/1992		"Mussel rocks, Westport"	West Coast	Tasman		Male	Steve Dawson and Liz Slooten					No		"from cards on Kirsty's desk, Franz's notesreported caught in gillnetalternate code = CETOS 9692"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC04-01	?	?	?	?			Unknown	?					No		"from cards on Kirsty's desk, Franz's notesbeachcast, clear net marksalternate code = CETOS 9696"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC05	11/11/1992		Westport	West Coast	Tasman		Male						No		"from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9697"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC06	22/11/1992		Granity	West Coast	Tasman		Male									"No data available. No H code. Eneterd to the database by Sahar.Two samples, one disposed. Massey code: None"	
	Cephalorhynchus hectori	Hector's dolphin	CheWC07	14/12/1992		Granity	West Coast	Tasman								No		"from cards on Kirsty's desk, Franz's notesalternate code = massey WS97.58"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC08	24/02/1993		Birchfield beach	West Coast	Tasman		Male									"No data available. No H code. Eneterd to the database by Sahar. Two samples, one disposed. Massey code: None"	
	Cephalorhynchus hectori	Hector's dolphin	CheWC09	22/08/1994		"Kaitinu Beach, Hokitika"	West Coast	Tasman		Male	"DoC, via Liz Slooten"								"No data available. No H code. WC002 is mentioned on the tube but omitted. Eneterd to the database by Sahar. Two samples (one in Becca's box), one (Becca's) diaposed after adding two pieces of the Becca's box sample to  the original tube. Massey code: None"	
	Cephalorhynchus hectori	Hector's dolphin	CheWC10	26/08/1993		Hokitika Beach	West Coast	Tasman		Male									No data available. No H code. Eneterd to the database by Sahar. Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheWC11	11/08/1995		Karoro near Greymouth	West Coast	Tasman		Male									No data available. No H code. Eneterd to the database by Sahar. Probably the same as CheTi12 (H28). Massey code: None	
	Cephalorhynchus hectori	Hector's dolphin	CheWC12/ CheOk01	11/08/1995		Okarito beach netween Waitahi Bluff and Commisioner Bluff	West Coast	Tasman		Unknown	"gary Aburn/John Reid, DoC Franz Josef"					Yes		"Samples from stomach of seven-gill shark, required molecular species identification. ID'd by Merel Dalebout"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC16	20/12/1995		Paroa	West Coast	Tasman		Unknown								Contact Massey University for measurements.	"Three samples, two discarded. "	
	Cephalorhynchus hectori	Hector's dolphin	CheWC18	11/03/1996		Ngakawau NZMS L28 150534	West Coast	Tasman		Male	DoC Hokitika					No		"TL = 65cm H247/13 phots: yes DOC note: dolphin was an infant, scavenging sractches and shark bites"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC19	11/03/1996		Ngakawau NZMS L28 150534	West Coast	Tasman		Male	DoC Hokitika					No		"TL = 72cm WC295Juvenile, probably been deadØfor two days - skin sloughing, eyes gone"		
	Cephalorhynchus hectori	Hector's dolphin	CheWC20		Oct-98		West Coast	Tasman		Female						No		TL = 127cm		
	Cephalorhynchus hectori	Hector's dolphin	CheWC21	16/09/1995		Taramakau River Mouth NZMS J32 2355858473	West Coast	Tasman		Female						No		TL = 141cm		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheWC130	06/06/2001		Buller				Female						No		TL=88.5cmPhotos: yesTwo samples dated 12/1/2015 but not indicated which one belongs to U15-005 and U15-006		
	Cephalorhynchus hectori	Hector's dolphin	CheWC22			Greymouth	West Coast	Tasman		Unknown						No		TL=152cmBadly decomposedPhotos: yesTwo samples dated 12/1/2015 but not indicated which one belongs to U15-005 and U15-006		
Yes	Cephalorhynchus hectori	Hector's dolphin	CheWP??	23/11/1999						Male						No		TL 136 cm		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che9362	28/11/1994												No		"WC299decomposed, incomplete animal, no TLPhotos: yes"		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che67													No		No stranding sheetCHE16 QCS01		
Yes	Cephalorhynchus hectori	Hector's dolphin	Che (via G Austin; H28)													No		No stranding sheetCHE16 QCS03		
 	Cephalorhynchus hectori	Hector's dolphin	"KTUW 1, 2, 3"	06/11/1997		Manukau Harbour	Auckland	Tasman Sea			"Craig Thorburn, Kelly Tarlton's"					No		No stranding sheetCHE16 QCS04		
Yes	Cephalorhynchus hectori	Hector's dolphin	U13-033 (H241-13)	30/05/2013		"South Bay ,Timaru"	Canterbury	Pacifc		Male	S. Marraway					No		No stranding sheetCHE16 QCS05		
Yes	Cephalorhynchus hectori	Hector's dolphin	U13-085 (H247-13)	07/12/2013		"Blaketown Beach, Greymouth"	West Coast	Tasman		Unknown	Don Neale					No		No stranding sheetCHE16 QCS06		
	Cephalorhynchus hectori	Hector's dolphin	U14-126	18/11/2014		"3 Mile Beach, Hokitika"	West Coast	Tasman		Unknown	Mark Martini					No		No stranding sheetCHE16 QCS07		
	Cephalorhynchus hectori	Hector's dolphin	U14-138	30/10/2014		"Pakawau Beach, Golden Bay"	Tasman	Tasman		Unknown	Amanda Harvey					No		No stranding sheetCHE16 QCS08		
	Cephalorhynchus hectori	Hector's dolphin	U14-150	08/09/2014		"Kongahu Beach, Karamea"	West Coast	Tasman		Unknown	Graeme Quinn					No		No stranding sheetCHE16 QCS09		
	Cephalorhynchus hectori	Hector's dolphin	U15-005	09/01/2015		"Rocks Road, Nelson"	Tasman	Tasman		Unknown	Brett Cowan					No		No stranding sheetCHE16 QCS10		
	Cephalorhynchus hectori	Hector's dolphin	U15-006	11/01/2015		"Waimea Inlet, Nelson"	Tasman	Tasman		Unknown	Dirk de Vries					No		No stranding sheetCHE16 QCS11		
	Cephalorhynchus hectori	Hector's dolphin	U15-116	24/09/2015		"Coopers Lagoon beach, Cantebury"	Cantebury	Pacific		Unknown	D. M. Cox					No		No stranding sheetCHE16 QCS12		
	Cephalorhynchus hectori	Hector's dolphin	U15-119	13/10/2015		"Awatuna Beach, north of Hokitika"	Westland	Tasman		Unknown	Mark Martini					No		No stranding sheetCHE16 QCS13		
	Cephalorhynchus hectori	Hector's dolphin	U16-042	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No		No stranding sheetCHE16 QCS14		
	Cephalorhynchus hectori	Hector's dolphin	U16-043	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No		TL=74.5cmcalf		
	Cephalorhynchus hectori	Hector's dolphin	U16-044	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No		TL=142cm		
	Cephalorhynchus hectori	Hector's dolphin	U16-045	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No		TL = 70cmcalf2-3 hectors dolphins observed offshore on 25/11/2017 3.30pmPhotos: Yes		
	Cephalorhynchus hectori	Hector's dolphin	U16-046	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No		No stranding sheerSuspected shark attach or scavenging		
	Cephalorhynchus hectori	Hector's dolphin	U16-047	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No		TL = 72cmneonate calfeuthanised by vet with bolt technologyno sign of other dolphins in the vicinityPhotos: Yes		
	Cephalorhynchus hectori	Hector's dolphin	U16-048	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No		TL = 124.2cmNo obvious net or other marksOther Hectors (6) seen north near Needles Rock		
	Cephalorhynchus hectori	Hector's dolphin	U16-049	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No		"TL = 140cmSignificant trauma - bite marks, exposing internal orgnas"		
	Cephalorhynchus hectori	Hector's dolphin	U16-050	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						MLD 1 Dec 94No				
	Cephalorhynchus hectori	Hector's dolphin	U16-051	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No				
	Cephalorhynchus hectori	Hector's dolphin	U16-052	13/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No				
	Cephalorhynchus hectori	Hector's dolphin	U16-053	14/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No				
	Cephalorhynchus hectori	Hector's dolphin	U16-054	15/06/2016		Queen Charlotte sound		Cook Strait		Unknown						No		"possible mixup at DoC re sample coding. Accompanying stranding form refers to 2 samples taken from mass stranding of 15b animals at Tokerau Beach 8 Oct 96, but labels on vials (C1 and C2) indicated sample within was from common dolphin from Ocean Beach 5 Aug 96"	"Two samples, one disposed"	
	Cephalorhynchus hectori	Hector's dolphin	U16-065	17/10/2016		"Southside Beach, Hokitika"	West Coast	Tasman		Unknown	Rodney Phillips					No		Mucic code: WS97-17Dd		
	Cephalorhynchus hectori	Hector's dolphin	U17-064	03/09/2017		Kaitorete Spit	Cantebury	Pacific		Unknown	Tom Hitchon					No		Mucic code: WS97-06Dd		
	Cephalorhynchus hectori	Hector's dolphin	U17-083 a+b	26/11/2017		"Canoe Creek area, south of Burke Road, Greymouth"	West Coast	Tasman		Unknown	Darrel Haworth/Kate Simister					No		badly decomposed		
	Cephalorhynchus hectori	Hector's dolphin	U17-087	13/12/2017		"Nine Mile Beach, Westport, Buller"	West Coast	Tasman		Unknown	Kate Simister					No		Mucic code: WS97-56Dd (autopsy code 28640)		
	Cephalorhynchus hectori	Hector's dolphin	U18-002	07/01/2018		Measley Beach/Tokomairiro River Mouth	Otago	Pacific		Unknown	J Fyfe					No		Mucic code: Ws98-07Dd. TL = 1.8m		
	Cephalorhynchus hectori	Hector's dolphin	U18-007	09/02/2018		"Ure Stream mouth, South Marlborough"	marlborough	Pacific		Unknown	M. J. Morrisey					No		"TL 162.5 cm single male, appeared in perfect health"		
No	Cephalorhynchus hectori	Hector's dolphin	U12-006	25/04/2012		Opunake	Taranake	Tasman		Unknown	"Callum Lilley, DOC Taranaki"					No		"subadult, TL 197cm. Found floating listlessly. No apparent injury. Euthanized on humane grounds"		
Yes	Cephalorhynchus hectori	Hector's dolphin	U12-091	27/09/2012	Oct-12		Buller	Tasman		Unknown	"Daniel Sawyers, DOC Buller Area"					No		"1 of 3 animals, samples from 2 held, third went straight to MUCIC"		
Yes	Cephalorhynchus hectori	Hector's dolphin	U13-018 ( H239-13)	04/04/2013	Apr-13	Takutai Beach	"Hokitika, West Coast"	Tasman		Unknown	"R. Van Mierlo, DOC Hokitika"					No		"1 of 3 animals, samples from 2 held, third went straight to MUCIC"		
	Cephalorhynchus hectori	Hector's dolphin	U16-077	26/11/2016		"400m north of Okuru, Haast"	West Coast	Tasman		Female	Jacinda Amey			Confirmation of species requiredConfirmed as common by cytb sequence	Yes	Yes	Yes	"Baby, Umbilical connection obviousfoecal folds still presentConfirmed as common by cytb sequence"		
Yes	Cephalorhynchus hectori maui	Maui dolphin	Chem06NZ02 (H125/06; U06-129)	13/11/2006	Nov-06	"Sunset Beach, Port Waikato"	Waikato	Tasman Sea		Unknown	"Garry Hickman, DoC Hamilton"			Confirmation of species required		Yes	Yes	Neonatepossible common dolphin also known as Dde21confirmed common Debbie Oct 03		
Yes	Cephalorhynchus hectori maui	Maui dolphin	Chem06NZ04 (H127/06; U06-190)	03/12/2006	Dec-06	"North Kariotahi Beach, Waiuku"	Auckland	Tasman		Female	"Karl McLeod, DoC Auckland"			Species ID requestedConfirmation of sex		Yes		"Washed up on rocky reef at Hightide markSex confirmed as male by genetic analysis, Debbie June 02ID confirmed cytb seq Debbie Apr 03"		
Yes	Cephalorhynchus hectori maui	Maui dolphin	Chem07NZ01 (H153/07; U07-113)	10/11/2007	Nov-07	"Manu Bay boat ramp, Raglan"	Waikato	Tasman Sea		Female	"Garry Hickman, DoC Waikato"					Yes		"Photocopy of photos attachedID confirmed cytb seq, Debbie Apr 03"		
Yes	Cephalorhynchus hectori maui	Maui dolphin	Chem07NZ09 (H140/07; U07-057)	09/03/2007	Mar-07	"Ngaranui Beach, Raglan"	Waikato	Tasman Sea		Female	"Garry Hickman, DoC Waikato"					Yes		"Cookie cutter shark marksSpecies confirmation requiredId confirmed cytb seq, Debbie Apr 03.  "	"Two samples, one disposed."	
Yes	Cephalorhynchus hectori maui	Maui dolphin	Chem10NZ06 (H202/10; U10-169)	20/11/2010		Raglan	Waikato	Tasman		Male	"G. Hickman, DoC Waikato"					Yes		"Photo's taken, see KarlTL 1.74mConfirm species id and sexSex confirmed Debbie Aug o2Id confirmed, cytb seq, Debbie Apr 03"		
Yes	Cephalorhynchus hectori maui	Maui dolphin	Chem13NZ01 (H243/13; U13-046)	13/09/2013		"Riparo Beach, Glinks Gully"	Northland	Tasman		Unknown						Yes		"Photo's takenTL 2mID confirmed, cytb seq, Debbie Apr 03.  "	"Two samples, one disposed."	
	Cephalorhynchus hectori maui	Maui's dolphin	U18-004 a+b	21/01/2018		"Sunset beach, Port Waikato"	Waikato	Tasman		Unknown	Garry Hickman					Yes	No	"beachcast afer heavy stormTL 1.71mAlso known as ULBayID confirmed cytb seq, Debbie Apr 03"		
	Cephalorhynchus hectori maui	Maui dolphin	U18-042	30/09/2018		"Gibson Beach, Te Akau"	Waikato	Tasman		Female	"Jordan Prestidge, Garry Hickman"					Yes		"Report of a group feeding earlier and then dead dolphin, perhaps juvenile?Also known as UKeriID confirmed cytb seq, Debbie Apr 03"		
